symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
AAPL,2020-12-11T00:00:00,user_0_0,$AAPL is looking bullish! 🚀 Great earnings report today,78,1.0,2,0
AAPL,2020-12-11T04:48:00,user_1_0,$AAPL Just bought more. Holding long term! 💎,227,1.0,2,0
AAPL,2020-12-11T09:36:00,user_2_0,$AAPL down today but I'm not worried. Strong company,244,0.0,1,1
AAPL,2020-12-11T14:24:00,user_3_0,$AAPL took a hit. Market volatility 📉,307,-1.0,0,1
AAPL,2020-12-11T19:12:00,user_4_0,$AAPL beat expectations again! To the moon! 🌙,173,0.0,0,0
AAPL,2020-12-12T00:00:00,user_0_1,$AAPL Bearish for now. Waiting for better entry,196,-1.0,0,1
AAPL,2020-12-12T04:48:00,user_1_1,$AAPL my top pick. Undervalued imo,303,0.0,0,0
AAPL,2020-12-12T09:36:00,user_2_1,$AAPL why is it down so much? overreaction,101,-1.0,0,1
AAPL,2020-12-12T14:24:00,user_3_1,$AAPL Sold my position today. Taking profits,18,0.0,0,0
AAPL,2020-12-12T19:12:00,user_4_1,$AAPL mooning! 🚀📈 Love this stock!,96,1.0,3,0
AAPL,2020-12-13T00:00:00,user_0_2,$AAPL is looking bullish! 🚀 Great earnings report today,418,1.0,2,0
AAPL,2020-12-13T04:48:00,user_1_2,$AAPL Just bought more. Holding long term! 💎,425,1.0,2,0
AAPL,2020-12-13T09:36:00,user_2_2,$AAPL down today but I'm not worried. Strong company,392,0.0,1,1
AAPL,2020-12-13T14:24:00,user_3_2,$AAPL took a hit. Market volatility 📉,11,-1.0,0,1
AAPL,2020-12-13T19:12:00,user_4_2,$AAPL beat expectations again! To the moon! 🌙,188,0.0,0,0
AAPL,2020-12-14T00:00:00,user_0_3,$AAPL Bearish for now. Waiting for better entry,308,-1.0,0,1
AAPL,2020-12-14T04:48:00,user_1_3,$AAPL my top pick. Undervalued imo,437,0.0,0,0
AAPL,2020-12-14T09:36:00,user_2_3,$AAPL why is it down so much? overreaction,161,-1.0,0,1
AAPL,2020-12-14T14:24:00,user_3_3,$AAPL Sold my position today. Taking profits,161,0.0,0,0
AAPL,2020-12-14T19:12:00,user_4_3,$AAPL mooning! 🚀📈 Love this stock!,38,1.0,3,0
AAPL,2020-12-15T00:00:00,user_0_4,$AAPL is looking bullish! 🚀 Great earnings report today,88,1.0,2,0
AAPL,2020-12-15T04:48:00,user_1_4,$AAPL Just bought more. Holding long term! 💎,191,1.0,2,0
AAPL,2020-12-15T09:36:00,user_2_4,$AAPL down today but I'm not worried. Strong company,438,0.0,1,1
AAPL,2020-12-15T14:24:00,user_3_4,$AAPL took a hit. Market volatility 📉,391,-1.0,0,1
AAPL,2020-12-15T19:12:00,user_4_4,$AAPL beat expectations again! To the moon! 🌙,324,0.0,0,0
AAPL,2020-12-16T00:00:00,user_0_5,$AAPL Bearish for now. Waiting for better entry,274,-1.0,0,1
AAPL,2020-12-16T04:48:00,user_1_5,$AAPL my top pick. Undervalued imo,37,0.0,0,0
AAPL,2020-12-16T09:36:00,user_2_5,$AAPL why is it down so much? overreaction,441,-1.0,0,1
AAPL,2020-12-16T14:24:00,user_3_5,$AAPL Sold my position today. Taking profits,465,0.0,0,0
AAPL,2020-12-16T19:12:00,user_4_5,$AAPL mooning! 🚀📈 Love this stock!,97,1.0,3,0
AAPL,2020-12-17T00:00:00,user_0_6,$AAPL is looking bullish! 🚀 Great earnings report today,150,1.0,2,0
AAPL,2020-12-17T04:48:00,user_1_6,$AAPL Just bought more. Holding long term! 💎,310,1.0,2,0
AAPL,2020-12-17T09:36:00,user_2_6,$AAPL down today but I'm not worried. Strong company,181,0.0,1,1
AAPL,2020-12-17T14:24:00,user_3_6,$AAPL took a hit. Market volatility 📉,314,-1.0,0,1
AAPL,2020-12-17T19:12:00,user_4_6,$AAPL beat expectations again! To the moon! 🌙,179,0.0,0,0
