symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
AMZN,2020-12-11T00:00:00,user_0_0,$AMZN is looking bullish! 🚀 Great earnings report today,146,1.0,2,0
AMZN,2020-12-11T04:48:00,user_1_0,$AMZN Just bought more. Holding long term! 💎,216,1.0,2,0
AMZN,2020-12-11T09:36:00,user_2_0,$AMZN down today but I'm not worried. Strong company,484,0.0,1,1
AMZN,2020-12-11T14:24:00,user_3_0,$AMZN took a hit. Market volatility 📉,447,-1.0,0,1
AMZN,2020-12-11T19:12:00,user_4_0,$AMZN beat expectations again! To the moon! 🌙,368,0.0,0,0
AMZN,2020-12-12T00:00:00,user_0_1,$AMZN Bearish for now. Waiting for better entry,352,-1.0,0,1
AMZN,2020-12-12T04:48:00,user_1_1,$AMZN my top pick. Undervalued imo,120,0.0,0,0
AMZN,2020-12-12T09:36:00,user_2_1,$AMZN why is it down so much? overreaction,156,-1.0,0,1
AMZN,2020-12-12T14:24:00,user_3_1,$AMZN Sold my position today. Taking profits,267,0.0,0,0
AMZN,2020-12-12T19:12:00,user_4_1,$AMZN mooning! 🚀📈 Love this stock!,371,1.0,3,0
AMZN,2020-12-13T00:00:00,user_0_2,$AMZN is looking bullish! 🚀 Great earnings report today,261,1.0,2,0
AMZN,2020-12-13T04:48:00,user_1_2,$AMZN Just bought more. Holding long term! 💎,498,1.0,2,0
AMZN,2020-12-13T09:36:00,user_2_2,$AMZN down today but I'm not worried. Strong company,226,0.0,1,1
AMZN,2020-12-13T14:24:00,user_3_2,$AMZN took a hit. Market volatility 📉,279,-1.0,0,1
AMZN,2020-12-13T19:12:00,user_4_2,$AMZN beat expectations again! To the moon! 🌙,457,0.0,0,0
AMZN,2020-12-14T00:00:00,user_0_3,$AMZN Bearish for now. Waiting for better entry,155,-1.0,0,1
AMZN,2020-12-14T04:48:00,user_1_3,$AMZN my top pick. Undervalued imo,415,0.0,0,0
AMZN,2020-12-14T09:36:00,user_2_3,$AMZN why is it down so much? overreaction,161,-1.0,0,1
AMZN,2020-12-14T14:24:00,user_3_3,$AMZN Sold my position today. Taking profits,353,0.0,0,0
AMZN,2020-12-14T19:12:00,user_4_3,$AMZN mooning! 🚀📈 Love this stock!,196,1.0,3,0
AMZN,2020-12-15T00:00:00,user_0_4,$AMZN is looking bullish! 🚀 Great earnings report today,26,1.0,2,0
AMZN,2020-12-15T04:48:00,user_1_4,$AMZN Just bought more. Holding long term! 💎,63,1.0,2,0
AMZN,2020-12-15T09:36:00,user_2_4,$AMZN down today but I'm not worried. Strong company,392,0.0,1,1
AMZN,2020-12-15T14:24:00,user_3_4,$AMZN took a hit. Market volatility 📉,24,-1.0,0,1
AMZN,2020-12-15T19:12:00,user_4_4,$AMZN beat expectations again! To the moon! 🌙,77,0.0,0,0
AMZN,2020-12-16T00:00:00,user_0_5,$AMZN Bearish for now. Waiting for better entry,220,-1.0,0,1
AMZN,2020-12-16T04:48:00,user_1_5,$AMZN my top pick. Undervalued imo,268,0.0,0,0
AMZN,2020-12-16T09:36:00,user_2_5,$AMZN why is it down so much? overreaction,12,-1.0,0,1
AMZN,2020-12-16T14:24:00,user_3_5,$AMZN Sold my position today. Taking profits,104,0.0,0,0
AMZN,2020-12-16T19:12:00,user_4_5,$AMZN mooning! 🚀📈 Love this stock!,247,1.0,3,0
AMZN,2020-12-17T00:00:00,user_0_6,$AMZN is looking bullish! 🚀 Great earnings report today,29,1.0,2,0
AMZN,2020-12-17T04:48:00,user_1_6,$AMZN Just bought more. Holding long term! 💎,248,1.0,2,0
AMZN,2020-12-17T09:36:00,user_2_6,$AMZN down today but I'm not worried. Strong company,342,0.0,1,1
AMZN,2020-12-17T14:24:00,user_3_6,$AMZN took a hit. Market volatility 📉,243,-1.0,0,1
AMZN,2020-12-17T19:12:00,user_4_6,$AMZN beat expectations again! To the moon! 🌙,95,0.0,0,0
AMZN,2020-12-18T00:00:00,user_0_7,$AMZN Bearish for now. Waiting for better entry,454,-1.0,0,1
AMZN,2020-12-18T04:48:00,user_1_7,$AMZN my top pick. Undervalued imo,30,0.0,0,0
AMZN,2020-12-18T09:36:00,user_2_7,$AMZN why is it down so much? overreaction,157,-1.0,0,1
AMZN,2020-12-18T14:24:00,user_3_7,$AMZN Sold my position today. Taking profits,135,0.0,0,0
AMZN,2020-12-18T19:12:00,user_4_7,$AMZN mooning! 🚀📈 Love this stock!,394,1.0,3,0
AMZN,2020-12-19T00:00:00,user_0_8,$AMZN is looking bullish! 🚀 Great earnings report today,33,1.0,2,0
AMZN,2020-12-19T04:48:00,user_1_8,$AMZN Just bought more. Holding long term! 💎,304,1.0,2,0
AMZN,2020-12-19T09:36:00,user_2_8,$AMZN down today but I'm not worried. Strong company,190,0.0,1,1
AMZN,2020-12-19T14:24:00,user_3_8,$AMZN took a hit. Market volatility 📉,358,-1.0,0,1
AMZN,2020-12-19T19:12:00,user_4_8,$AMZN beat expectations again! To the moon! 🌙,447,0.0,0,0
AMZN,2020-12-20T00:00:00,user_0_9,$AMZN Bearish for now. Waiting for better entry,291,-1.0,0,1
AMZN,2020-12-20T04:48:00,user_1_9,$AMZN my top pick. Undervalued imo,340,0.0,0,0
AMZN,2020-12-20T09:36:00,user_2_9,$AMZN why is it down so much? overreaction,479,-1.0,0,1
AMZN,2020-12-20T14:24:00,user_3_9,$AMZN Sold my position today. Taking profits,440,0.0,0,0
AMZN,2020-12-20T19:12:00,user_4_9,$AMZN mooning! 🚀📈 Love this stock!,381,1.0,3,0
AMZN,2020-12-21T00:00:00,user_0_10,$AMZN is looking bullish! 🚀 Great earnings report today,179,1.0,2,0
AMZN,2020-12-21T04:48:00,user_1_10,$AMZN Just bought more. Holding long term! 💎,130,1.0,2,0
AMZN,2020-12-21T09:36:00,user_2_10,$AMZN down today but I'm not worried. Strong company,438,0.0,1,1
AMZN,2020-12-21T14:24:00,user_3_10,$AMZN took a hit. Market volatility 📉,97,-1.0,0,1
AMZN,2020-12-21T19:12:00,user_4_10,$AMZN beat expectations again! To the moon! 🌙,287,0.0,0,0
AMZN,2020-12-22T00:00:00,user_0_11,$AMZN Bearish for now. Waiting for better entry,174,-1.0,0,1
AMZN,2020-12-22T04:48:00,user_1_11,$AMZN my top pick. Undervalued imo,434,0.0,0,0
AMZN,2020-12-22T09:36:00,user_2_11,$AMZN why is it down so much? overreaction,203,-1.0,0,1
AMZN,2020-12-22T14:24:00,user_3_11,$AMZN Sold my position today. Taking profits,120,0.0,0,0
AMZN,2020-12-22T19:12:00,user_4_11,$AMZN mooning! 🚀📈 Love this stock!,73,1.0,3,0
AMZN,2020-12-23T00:00:00,user_0_12,$AMZN is looking bullish! 🚀 Great earnings report today,439,1.0,2,0
AMZN,2020-12-23T04:48:00,user_1_12,$AMZN Just bought more. Holding long term! 💎,61,1.0,2,0
AMZN,2020-12-23T09:36:00,user_2_12,$AMZN down today but I'm not worried. Strong company,429,0.0,1,1
AMZN,2020-12-23T14:24:00,user_3_12,$AMZN took a hit. Market volatility 📉,181,-1.0,0,1
AMZN,2020-12-23T19:12:00,user_4_12,$AMZN beat expectations again! To the moon! 🌙,414,0.0,0,0
AMZN,2020-12-24T00:00:00,user_0_13,$AMZN Bearish for now. Waiting for better entry,363,-1.0,0,1
AMZN,2020-12-24T04:48:00,user_1_13,$AMZN my top pick. Undervalued imo,71,0.0,0,0
AMZN,2020-12-24T09:36:00,user_2_13,$AMZN why is it down so much? overreaction,322,-1.0,0,1
AMZN,2020-12-24T14:24:00,user_3_13,$AMZN Sold my position today. Taking profits,121,0.0,0,0
AMZN,2020-12-24T19:12:00,user_4_13,$AMZN mooning! 🚀📈 Love this stock!,5,1.0,3,0
AMZN,2020-12-25T00:00:00,user_0_14,$AMZN is looking bullish! 🚀 Great earnings report today,246,1.0,2,0
AMZN,2020-12-25T04:48:00,user_1_14,$AMZN Just bought more. Holding long term! 💎,425,1.0,2,0
AMZN,2020-12-25T09:36:00,user_2_14,$AMZN down today but I'm not worried. Strong company,444,0.0,1,1
AMZN,2020-12-25T14:24:00,user_3_14,$AMZN took a hit. Market volatility 📉,352,-1.0,0,1
AMZN,2020-12-25T19:12:00,user_4_14,$AMZN beat expectations again! To the moon! 🌙,8,0.0,0,0
AMZN,2020-12-26T00:00:00,user_0_15,$AMZN Bearish for now. Waiting for better entry,163,-1.0,0,1
AMZN,2020-12-26T04:48:00,user_1_15,$AMZN my top pick. Undervalued imo,5,0.0,0,0
AMZN,2020-12-26T09:36:00,user_2_15,$AMZN why is it down so much? overreaction,428,-1.0,0,1
AMZN,2020-12-26T14:24:00,user_3_15,$AMZN Sold my position today. Taking profits,130,0.0,0,0
AMZN,2020-12-26T19:12:00,user_4_15,$AMZN mooning! 🚀📈 Love this stock!,243,1.0,3,0
AMZN,2020-12-27T00:00:00,user_0_16,$AMZN is looking bullish! 🚀 Great earnings report today,412,1.0,2,0
AMZN,2020-12-27T04:48:00,user_1_16,$AMZN Just bought more. Holding long term! 💎,306,1.0,2,0
AMZN,2020-12-27T09:36:00,user_2_16,$AMZN down today but I'm not worried. Strong company,211,0.0,1,1
AMZN,2020-12-27T14:24:00,user_3_16,$AMZN took a hit. Market volatility 📉,279,-1.0,0,1
AMZN,2020-12-27T19:12:00,user_4_16,$AMZN beat expectations again! To the moon! 🌙,160,0.0,0,0
AMZN,2020-12-28T00:00:00,user_0_17,$AMZN Bearish for now. Waiting for better entry,294,-1.0,0,1
AMZN,2020-12-28T04:48:00,user_1_17,$AMZN my top pick. Undervalued imo,57,0.0,0,0
AMZN,2020-12-28T09:36:00,user_2_17,$AMZN why is it down so much? overreaction,404,-1.0,0,1
AMZN,2020-12-28T14:24:00,user_3_17,$AMZN Sold my position today. Taking profits,66,0.0,0,0
