symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
MSFT,2020-12-11T00:00:00,user_0_0,$MSFT is looking bullish! 🚀 Great earnings report today,179,1.0,2,0
MSFT,2020-12-11T04:48:00,user_1_0,$MSFT Just bought more. Holding long term! 💎,267,1.0,2,0
MSFT,2020-12-11T09:36:00,user_2_0,$MSFT down today but I'm not worried. Strong company,76,0.0,1,1
MSFT,2020-12-11T14:24:00,user_3_0,$MSFT took a hit. Market volatility 📉,163,-1.0,0,1
MSFT,2020-12-11T19:12:00,user_4_0,$MSFT beat expectations again! To the moon! 🌙,74,0.0,0,0
MSFT,2020-12-12T00:00:00,user_0_1,$MSFT Bearish for now. Waiting for better entry,30,-1.0,0,1
MSFT,2020-12-12T04:48:00,user_1_1,$MSFT my top pick. Undervalued imo,3,0.0,0,0
MSFT,2020-12-12T09:36:00,user_2_1,$MSFT why is it down so much? overreaction,285,-1.0,0,1
MSFT,2020-12-12T14:24:00,user_3_1,$MSFT Sold my position today. Taking profits,107,0.0,0,0
MSFT,2020-12-12T19:12:00,user_4_1,$MSFT mooning! 🚀📈 Love this stock!,413,1.0,3,0
MSFT,2020-12-13T00:00:00,user_0_2,$MSFT is looking bullish! 🚀 Great earnings report today,3,1.0,2,0
MSFT,2020-12-13T04:48:00,user_1_2,$MSFT Just bought more. Holding long term! 💎,246,1.0,2,0
MSFT,2020-12-13T09:36:00,user_2_2,$MSFT down today but I'm not worried. Strong company,469,0.0,1,1
MSFT,2020-12-13T14:24:00,user_3_2,$MSFT took a hit. Market volatility 📉,131,-1.0,0,1
MSFT,2020-12-13T19:12:00,user_4_2,$MSFT beat expectations again! To the moon! 🌙,460,0.0,0,0
MSFT,2020-12-14T00:00:00,user_0_3,$MSFT Bearish for now. Waiting for better entry,465,-1.0,0,1
MSFT,2020-12-14T04:48:00,user_1_3,$MSFT my top pick. Undervalued imo,113,0.0,0,0
MSFT,2020-12-14T09:36:00,user_2_3,$MSFT why is it down so much? overreaction,91,-1.0,0,1
MSFT,2020-12-14T14:24:00,user_3_3,$MSFT Sold my position today. Taking profits,423,0.0,0,0
MSFT,2020-12-14T19:12:00,user_4_3,$MSFT mooning! 🚀📈 Love this stock!,413,1.0,3,0
MSFT,2020-12-15T00:00:00,user_0_4,$MSFT is looking bullish! 🚀 Great earnings report today,74,1.0,2,0
MSFT,2020-12-15T04:48:00,user_1_4,$MSFT Just bought more. Holding long term! 💎,1,1.0,2,0
MSFT,2020-12-15T09:36:00,user_2_4,$MSFT down today but I'm not worried. Strong company,478,0.0,1,1
MSFT,2020-12-15T14:24:00,user_3_4,$MSFT took a hit. Market volatility 📉,93,-1.0,0,1
MSFT,2020-12-15T19:12:00,user_4_4,$MSFT beat expectations again! To the moon! 🌙,171,0.0,0,0
MSFT,2020-12-16T00:00:00,user_0_5,$MSFT Bearish for now. Waiting for better entry,98,-1.0,0,1
MSFT,2020-12-16T04:48:00,user_1_5,$MSFT my top pick. Undervalued imo,284,0.0,0,0
MSFT,2020-12-16T09:36:00,user_2_5,$MSFT why is it down so much? overreaction,307,-1.0,0,1
MSFT,2020-12-16T14:24:00,user_3_5,$MSFT Sold my position today. Taking profits,87,0.0,0,0
MSFT,2020-12-16T19:12:00,user_4_5,$MSFT mooning! 🚀📈 Love this stock!,390,1.0,3,0
MSFT,2020-12-17T00:00:00,user_0_6,$MSFT is looking bullish! 🚀 Great earnings report today,233,1.0,2,0
MSFT,2020-12-17T04:48:00,user_1_6,$MSFT Just bought more. Holding long term! 💎,384,1.0,2,0
MSFT,2020-12-17T09:36:00,user_2_6,$MSFT down today but I'm not worried. Strong company,455,0.0,1,1
MSFT,2020-12-17T14:24:00,user_3_6,$MSFT took a hit. Market volatility 📉,283,-1.0,0,1
MSFT,2020-12-17T19:12:00,user_4_6,$MSFT beat expectations again! To the moon! 🌙,460,0.0,0,0
MSFT,2020-12-18T00:00:00,user_0_7,$MSFT Bearish for now. Waiting for better entry,38,-1.0,0,1
MSFT,2020-12-18T04:48:00,user_1_7,$MSFT my top pick. Undervalued imo,177,0.0,0,0
MSFT,2020-12-18T09:36:00,user_2_7,$MSFT why is it down so much? overreaction,166,-1.0,0,1
MSFT,2020-12-18T14:24:00,user_3_7,$MSFT Sold my position today. Taking profits,145,0.0,0,0
MSFT,2020-12-18T19:12:00,user_4_7,$MSFT mooning! 🚀📈 Love this stock!,282,1.0,3,0
MSFT,2020-12-19T00:00:00,user_0_8,$MSFT is looking bullish! 🚀 Great earnings report today,285,1.0,2,0
MSFT,2020-12-19T04:48:00,user_1_8,$MSFT Just bought more. Holding long term! 💎,200,1.0,2,0
MSFT,2020-12-19T09:36:00,user_2_8,$MSFT down today but I'm not worried. Strong company,290,0.0,1,1
MSFT,2020-12-19T14:24:00,user_3_8,$MSFT took a hit. Market volatility 📉,494,-1.0,0,1
MSFT,2020-12-19T19:12:00,user_4_8,$MSFT beat expectations again! To the moon! 🌙,0,0.0,0,0
MSFT,2020-12-20T00:00:00,user_0_9,$MSFT Bearish for now. Waiting for better entry,212,-1.0,0,1
MSFT,2020-12-20T04:48:00,user_1_9,$MSFT my top pick. Undervalued imo,27,0.0,0,0
MSFT,2020-12-20T09:36:00,user_2_9,$MSFT why is it down so much? overreaction,202,-1.0,0,1
MSFT,2020-12-20T14:24:00,user_3_9,$MSFT Sold my position today. Taking profits,270,0.0,0,0
MSFT,2020-12-20T19:12:00,user_4_9,$MSFT mooning! 🚀📈 Love this stock!,287,1.0,3,0
MSFT,2020-12-21T00:00:00,user_0_10,$MSFT is looking bullish! 🚀 Great earnings report today,7,1.0,2,0
MSFT,2020-12-21T04:48:00,user_1_10,$MSFT Just bought more. Holding long term! 💎,206,1.0,2,0
MSFT,2020-12-21T09:36:00,user_2_10,$MSFT down today but I'm not worried. Strong company,402,0.0,1,1
MSFT,2020-12-21T14:24:00,user_3_10,$MSFT took a hit. Market volatility 📉,374,-1.0,0,1
MSFT,2020-12-21T19:12:00,user_4_10,$MSFT beat expectations again! To the moon! 🌙,195,0.0,0,0
MSFT,2020-12-22T00:00:00,user_0_11,$MSFT Bearish for now. Waiting for better entry,376,-1.0,0,1
MSFT,2020-12-22T04:48:00,user_1_11,$MSFT my top pick. Undervalued imo,130,0.0,0,0
MSFT,2020-12-22T09:36:00,user_2_11,$MSFT why is it down so much? overreaction,193,-1.0,0,1
MSFT,2020-12-22T14:24:00,user_3_11,$MSFT Sold my position today. Taking profits,263,0.0,0,0
MSFT,2020-12-22T19:12:00,user_4_11,$MSFT mooning! 🚀📈 Love this stock!,248,1.0,3,0
MSFT,2020-12-23T00:00:00,user_0_12,$MSFT is looking bullish! 🚀 Great earnings report today,152,1.0,2,0
MSFT,2020-12-23T04:48:00,user_1_12,$MSFT Just bought more. Holding long term! 💎,108,1.0,2,0
MSFT,2020-12-23T09:36:00,user_2_12,$MSFT down today but I'm not worried. Strong company,481,0.0,1,1
MSFT,2020-12-23T14:24:00,user_3_12,$MSFT took a hit. Market volatility 📉,274,-1.0,0,1
MSFT,2020-12-23T19:12:00,user_4_12,$MSFT beat expectations again! To the moon! 🌙,310,0.0,0,0
MSFT,2020-12-24T00:00:00,user_0_13,$MSFT Bearish for now. Waiting for better entry,183,-1.0,0,1
MSFT,2020-12-24T04:48:00,user_1_13,$MSFT my top pick. Undervalued imo,432,0.0,0,0
MSFT,2020-12-24T09:36:00,user_2_13,$MSFT why is it down so much? overreaction,33,-1.0,0,1
MSFT,2020-12-24T14:24:00,user_3_13,$MSFT Sold my position today. Taking profits,85,0.0,0,0
MSFT,2020-12-24T19:12:00,user_4_13,$MSFT mooning! 🚀📈 Love this stock!,440,1.0,3,0
MSFT,2020-12-25T00:00:00,user_0_14,$MSFT is looking bullish! 🚀 Great earnings report today,423,1.0,2,0
MSFT,2020-12-25T04:48:00,user_1_14,$MSFT Just bought more. Holding long term! 💎,95,1.0,2,0
MSFT,2020-12-25T09:36:00,user_2_14,$MSFT down today but I'm not worried. Strong company,135,0.0,1,1
MSFT,2020-12-25T14:24:00,user_3_14,$MSFT took a hit. Market volatility 📉,312,-1.0,0,1
MSFT,2020-12-25T19:12:00,user_4_14,$MSFT beat expectations again! To the moon! 🌙,83,0.0,0,0
MSFT,2020-12-26T00:00:00,user_0_15,$MSFT Bearish for now. Waiting for better entry,434,-1.0,0,1
MSFT,2020-12-26T04:48:00,user_1_15,$MSFT my top pick. Undervalued imo,479,0.0,0,0
MSFT,2020-12-26T09:36:00,user_2_15,$MSFT why is it down so much? overreaction,241,-1.0,0,1
MSFT,2020-12-26T14:24:00,user_3_15,$MSFT Sold my position today. Taking profits,257,0.0,0,0
MSFT,2020-12-26T19:12:00,user_4_15,$MSFT mooning! 🚀📈 Love this stock!,123,1.0,3,0
MSFT,2020-12-27T00:00:00,user_0_16,$MSFT is looking bullish! 🚀 Great earnings report today,440,1.0,2,0
MSFT,2020-12-27T04:48:00,user_1_16,$MSFT Just bought more. Holding long term! 💎,461,1.0,2,0
MSFT,2020-12-27T09:36:00,user_2_16,$MSFT down today but I'm not worried. Strong company,469,0.0,1,1
MSFT,2020-12-27T14:24:00,user_3_16,$MSFT took a hit. Market volatility 📉,400,-1.0,0,1
MSFT,2020-12-27T19:12:00,user_4_16,$MSFT beat expectations again! To the moon! 🌙,142,0.0,0,0
MSFT,2020-12-28T00:00:00,user_0_17,$MSFT Bearish for now. Waiting for better entry,8,-1.0,0,1
MSFT,2020-12-28T04:48:00,user_1_17,$MSFT my top pick. Undervalued imo,274,0.0,0,0
MSFT,2020-12-28T09:36:00,user_2_17,$MSFT why is it down so much? overreaction,150,-1.0,0,1
MSFT,2020-12-28T14:24:00,user_3_17,$MSFT Sold my position today. Taking profits,183,0.0,0,0
MSFT,2020-12-28T19:12:00,user_4_17,$MSFT mooning! 🚀📈 Love this stock!,242,1.0,3,0
MSFT,2020-12-29T00:00:00,user_0_18,$MSFT is looking bullish! 🚀 Great earnings report today,203,1.0,2,0
MSFT,2020-12-29T04:48:00,user_1_18,$MSFT Just bought more. Holding long term! 💎,261,1.0,2,0
MSFT,2020-12-29T09:36:00,user_2_18,$MSFT down today but I'm not worried. Strong company,374,0.0,1,1
MSFT,2020-12-29T14:24:00,user_3_18,$MSFT took a hit. Market volatility 📉,17,-1.0,0,1
MSFT,2020-12-29T19:12:00,user_4_18,$MSFT beat expectations again! To the moon! 🌙,49,0.0,0,0
MSFT,2020-12-30T00:00:00,user_0_19,$MSFT Bearish for now. Waiting for better entry,53,-1.0,0,1
MSFT,2020-12-30T04:48:00,user_1_19,$MSFT my top pick. Undervalued imo,178,0.0,0,0
MSFT,2020-12-30T09:36:00,user_2_19,$MSFT why is it down so much? overreaction,228,-1.0,0,1
MSFT,2020-12-30T14:24:00,user_3_19,$MSFT Sold my position today. Taking profits,99,0.0,0,0
MSFT,2020-12-30T19:12:00,user_4_19,$MSFT mooning! 🚀📈 Love this stock!,383,1.0,3,0
MSFT,2020-12-31T00:00:00,user_0_20,$MSFT is looking bullish! 🚀 Great earnings report today,110,1.0,2,0
