symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
NVDA,2020-12-11T00:00:00,user_0_0,$NVDA is looking bullish! 🚀 Great earnings report today,239,1.0,2,0
NVDA,2020-12-11T04:48:00,user_1_0,$NVDA Just bought more. Holding long term! 💎,278,1.0,2,0
NVDA,2020-12-11T09:36:00,user_2_0,$NVDA down today but I'm not worried. Strong company,443,0.0,1,1
NVDA,2020-12-11T14:24:00,user_3_0,$NVDA took a hit. Market volatility 📉,240,-1.0,0,1
NVDA,2020-12-11T19:12:00,user_4_0,$NVDA beat expectations again! To the moon! 🌙,303,0.0,0,0
NVDA,2020-12-12T00:00:00,user_0_1,$NVDA Bearish for now. Waiting for better entry,275,-1.0,0,1
NVDA,2020-12-12T04:48:00,user_1_1,$NVDA my top pick. Undervalued imo,489,0.0,0,0
NVDA,2020-12-12T09:36:00,user_2_1,$NVDA why is it down so much? overreaction,194,-1.0,0,1
NVDA,2020-12-12T14:24:00,user_3_1,$NVDA Sold my position today. Taking profits,219,0.0,0,0
NVDA,2020-12-12T19:12:00,user_4_1,$NVDA mooning! 🚀📈 Love this stock!,307,1.0,3,0
NVDA,2020-12-13T00:00:00,user_0_2,$NVDA is looking bullish! 🚀 Great earnings report today,242,1.0,2,0
NVDA,2020-12-13T04:48:00,user_1_2,$NVDA Just bought more. Holding long term! 💎,361,1.0,2,0
NVDA,2020-12-13T09:36:00,user_2_2,$NVDA down today but I'm not worried. Strong company,465,0.0,1,1
NVDA,2020-12-13T14:24:00,user_3_2,$NVDA took a hit. Market volatility 📉,430,-1.0,0,1
NVDA,2020-12-13T19:12:00,user_4_2,$NVDA beat expectations again! To the moon! 🌙,212,0.0,0,0
NVDA,2020-12-14T00:00:00,user_0_3,$NVDA Bearish for now. Waiting for better entry,271,-1.0,0,1
NVDA,2020-12-14T04:48:00,user_1_3,$NVDA my top pick. Undervalued imo,60,0.0,0,0
NVDA,2020-12-14T09:36:00,user_2_3,$NVDA why is it down so much? overreaction,328,-1.0,0,1
NVDA,2020-12-14T14:24:00,user_3_3,$NVDA Sold my position today. Taking profits,448,0.0,0,0
NVDA,2020-12-14T19:12:00,user_4_3,$NVDA mooning! 🚀📈 Love this stock!,278,1.0,3,0
NVDA,2020-12-15T00:00:00,user_0_4,$NVDA is looking bullish! 🚀 Great earnings report today,352,1.0,2,0
NVDA,2020-12-15T04:48:00,user_1_4,$NVDA Just bought more. Holding long term! 💎,286,1.0,2,0
NVDA,2020-12-15T09:36:00,user_2_4,$NVDA down today but I'm not worried. Strong company,235,0.0,1,1
NVDA,2020-12-15T14:24:00,user_3_4,$NVDA took a hit. Market volatility 📉,183,-1.0,0,1
NVDA,2020-12-15T19:12:00,user_4_4,$NVDA beat expectations again! To the moon! 🌙,303,0.0,0,0
NVDA,2020-12-16T00:00:00,user_0_5,$NVDA Bearish for now. Waiting for better entry,2,-1.0,0,1
NVDA,2020-12-16T04:48:00,user_1_5,$NVDA my top pick. Undervalued imo,309,0.0,0,0
NVDA,2020-12-16T09:36:00,user_2_5,$NVDA why is it down so much? overreaction,40,-1.0,0,1
NVDA,2020-12-16T14:24:00,user_3_5,$NVDA Sold my position today. Taking profits,1,0.0,0,0
NVDA,2020-12-16T19:12:00,user_4_5,$NVDA mooning! 🚀📈 Love this stock!,268,1.0,3,0
NVDA,2020-12-17T00:00:00,user_0_6,$NVDA is looking bullish! 🚀 Great earnings report today,492,1.0,2,0
NVDA,2020-12-17T04:48:00,user_1_6,$NVDA Just bought more. Holding long term! 💎,27,1.0,2,0
NVDA,2020-12-17T09:36:00,user_2_6,$NVDA down today but I'm not worried. Strong company,186,0.0,1,1
NVDA,2020-12-17T14:24:00,user_3_6,$NVDA took a hit. Market volatility 📉,461,-1.0,0,1
NVDA,2020-12-17T19:12:00,user_4_6,$NVDA beat expectations again! To the moon! 🌙,99,0.0,0,0
NVDA,2020-12-18T00:00:00,user_0_7,$NVDA Bearish for now. Waiting for better entry,254,-1.0,0,1
NVDA,2020-12-18T04:48:00,user_1_7,$NVDA my top pick. Undervalued imo,476,0.0,0,0
NVDA,2020-12-18T09:36:00,user_2_7,$NVDA why is it down so much? overreaction,285,-1.0,0,1
NVDA,2020-12-18T14:24:00,user_3_7,$NVDA Sold my position today. Taking profits,377,0.0,0,0
NVDA,2020-12-18T19:12:00,user_4_7,$NVDA mooning! 🚀📈 Love this stock!,277,1.0,3,0
NVDA,2020-12-19T00:00:00,user_0_8,$NVDA is looking bullish! 🚀 Great earnings report today,274,1.0,2,0
NVDA,2020-12-19T04:48:00,user_1_8,$NVDA Just bought more. Holding long term! 💎,248,1.0,2,0
NVDA,2020-12-19T09:36:00,user_2_8,$NVDA down today but I'm not worried. Strong company,349,0.0,1,1
