symbol,timestamp,author,text,engagement,composite_score,positive_count,negative_count
TSLA,2020-12-11T00:00:00,user_0_0,$TSLA is looking bullish! 🚀 Great earnings report today,217,1.0,2,0
TSLA,2020-12-11T04:48:00,user_1_0,$TSLA Just bought more. Holding long term! 💎,452,1.0,2,0
TSLA,2020-12-11T09:36:00,user_2_0,$TSLA down today but I'm not worried. Strong company,431,0.0,1,1
TSLA,2020-12-11T14:24:00,user_3_0,$TSLA took a hit. Market volatility 📉,311,-1.0,0,1
TSLA,2020-12-11T19:12:00,user_4_0,$TSLA beat expectations again! To the moon! 🌙,490,0.0,0,0
TSLA,2020-12-12T00:00:00,user_0_1,$TSLA Bearish for now. Waiting for better entry,264,-1.0,0,1
TSLA,2020-12-12T04:48:00,user_1_1,$TSLA my top pick. Undervalued imo,18,0.0,0,0
TSLA,2020-12-12T09:36:00,user_2_1,$TSLA why is it down so much? overreaction,164,-1.0,0,1
TSLA,2020-12-12T14:24:00,user_3_1,$TSLA Sold my position today. Taking profits,355,0.0,0,0
TSLA,2020-12-12T19:12:00,user_4_1,$TSLA mooning! 🚀📈 Love this stock!,144,1.0,3,0
TSLA,2020-12-13T00:00:00,user_0_2,$TSLA is looking bullish! 🚀 Great earnings report today,318,1.0,2,0
TSLA,2020-12-13T04:48:00,user_1_2,$TSLA Just bought more. Holding long term! 💎,323,1.0,2,0
TSLA,2020-12-13T09:36:00,user_2_2,$TSLA down today but I'm not worried. Strong company,230,0.0,1,1
TSLA,2020-12-13T14:24:00,user_3_2,$TSLA took a hit. Market volatility 📉,9,-1.0,0,1
TSLA,2020-12-13T19:12:00,user_4_2,$TSLA beat expectations again! To the moon! 🌙,107,0.0,0,0
TSLA,2020-12-14T00:00:00,user_0_3,$TSLA Bearish for now. Waiting for better entry,220,-1.0,0,1
TSLA,2020-12-14T04:48:00,user_1_3,$TSLA my top pick. Undervalued imo,3,0.0,0,0
TSLA,2020-12-14T09:36:00,user_2_3,$TSLA why is it down so much? overreaction,362,-1.0,0,1
TSLA,2020-12-14T14:24:00,user_3_3,$TSLA Sold my position today. Taking profits,405,0.0,0,0
TSLA,2020-12-14T19:12:00,user_4_3,$TSLA mooning! 🚀📈 Love this stock!,34,1.0,3,0
TSLA,2020-12-15T00:00:00,user_0_4,$TSLA is looking bullish! 🚀 Great earnings report today,495,1.0,2,0
TSLA,2020-12-15T04:48:00,user_1_4,$TSLA Just bought more. Holding long term! 💎,485,1.0,2,0
TSLA,2020-12-15T09:36:00,user_2_4,$TSLA down today but I'm not worried. Strong company,118,0.0,1,1
TSLA,2020-12-15T14:24:00,user_3_4,$TSLA took a hit. Market volatility 📉,434,-1.0,0,1
TSLA,2020-12-15T19:12:00,user_4_4,$TSLA beat expectations again! To the moon! 🌙,28,0.0,0,0
TSLA,2020-12-16T00:00:00,user_0_5,$TSLA Bearish for now. Waiting for better entry,234,-1.0,0,1
TSLA,2020-12-16T04:48:00,user_1_5,$TSLA my top pick. Undervalued imo,242,0.0,0,0
TSLA,2020-12-16T09:36:00,user_2_5,$TSLA why is it down so much? overreaction,372,-1.0,0,1
TSLA,2020-12-16T14:24:00,user_3_5,$TSLA Sold my position today. Taking profits,266,0.0,0,0
TSLA,2020-12-16T19:12:00,user_4_5,$TSLA mooning! 🚀📈 Love this stock!,148,1.0,3,0
TSLA,2020-12-17T00:00:00,user_0_6,$TSLA is looking bullish! 🚀 Great earnings report today,213,1.0,2,0
TSLA,2020-12-17T04:48:00,user_1_6,$TSLA Just bought more. Holding long term! 💎,116,1.0,2,0
TSLA,2020-12-17T09:36:00,user_2_6,$TSLA down today but I'm not worried. Strong company,494,0.0,1,1
TSLA,2020-12-17T14:24:00,user_3_6,$TSLA took a hit. Market volatility 📉,456,-1.0,0,1
TSLA,2020-12-17T19:12:00,user_4_6,$TSLA beat expectations again! To the moon! 🌙,175,0.0,0,0
TSLA,2020-12-18T00:00:00,user_0_7,$TSLA Bearish for now. Waiting for better entry,213,-1.0,0,1
TSLA,2020-12-18T04:48:00,user_1_7,$TSLA my top pick. Undervalued imo,259,0.0,0,0
TSLA,2020-12-18T09:36:00,user_2_7,$TSLA why is it down so much? overreaction,266,-1.0,0,1
TSLA,2020-12-18T14:24:00,user_3_7,$TSLA Sold my position today. Taking profits,409,0.0,0,0
TSLA,2020-12-18T19:12:00,user_4_7,$TSLA mooning! 🚀📈 Love this stock!,487,1.0,3,0
TSLA,2020-12-19T00:00:00,user_0_8,$TSLA is looking bullish! 🚀 Great earnings report today,231,1.0,2,0
TSLA,2020-12-19T04:48:00,user_1_8,$TSLA Just bought more. Holding long term! 💎,447,1.0,2,0
TSLA,2020-12-19T09:36:00,user_2_8,$TSLA down today but I'm not worried. Strong company,37,0.0,1,1
TSLA,2020-12-19T14:24:00,user_3_8,$TSLA took a hit. Market volatility 📉,225,-1.0,0,1
TSLA,2020-12-19T19:12:00,user_4_8,$TSLA beat expectations again! To the moon! 🌙,161,0.0,0,0
TSLA,2020-12-20T00:00:00,user_0_9,$TSLA Bearish for now. Waiting for better entry,217,-1.0,0,1
TSLA,2020-12-20T04:48:00,user_1_9,$TSLA my top pick. Undervalued imo,147,0.0,0,0
TSLA,2020-12-20T09:36:00,user_2_9,$TSLA why is it down so much? overreaction,234,-1.0,0,1
TSLA,2020-12-20T14:24:00,user_3_9,$TSLA Sold my position today. Taking profits,355,0.0,0,0
TSLA,2020-12-20T19:12:00,user_4_9,$TSLA mooning! 🚀📈 Love this stock!,179,1.0,3,0
TSLA,2020-12-21T00:00:00,user_0_10,$TSLA is looking bullish! 🚀 Great earnings report today,484,1.0,2,0
TSLA,2020-12-21T04:48:00,user_1_10,$TSLA Just bought more. Holding long term! 💎,432,1.0,2,0
TSLA,2020-12-21T09:36:00,user_2_10,$TSLA down today but I'm not worried. Strong company,211,0.0,1,1
TSLA,2020-12-21T14:24:00,user_3_10,$TSLA took a hit. Market volatility 📉,342,-1.0,0,1
TSLA,2020-12-21T19:12:00,user_4_10,$TSLA beat expectations again! To the moon! 🌙,281,0.0,0,0
TSLA,2020-12-22T00:00:00,user_0_11,$TSLA Bearish for now. Waiting for better entry,217,-1.0,0,1
