ticker,date,source,na_sentiment_score_mean,na_sentiment_score_std,na_sentiment_score_count,na_positive_score_mean,na_negative_score_mean,na_neutral_score_mean
AAPL,2026-01-22,newsapi,0.8283098861575127,0.11151031755497232,8,0.46469100238755345,0.15320730966050178,0.38210167083889246
AAPL,2026-01-23,newsapi,0.9043105840682983,0.08618052713592377,2,0.42799655022099614,0.5394651778042316,0.032538287341594696
AAPL,2026-01-24,newsapi,0.9530908465385437,,1,0.014031428843736649,0.9530908465385437,0.03287774696946144
AAPL,2026-01-25,newsapi,0.8606030543645223,0.11729950241178955,6,0.07371263687188427,0.21999285059670606,0.7062944993376732
AAPL,2026-01-26,newsapi,0.9158340692520142,0.07693813899613634,6,0.5084122363477945,0.1851040618494153,0.3064836881433924
AAPL,2026-01-27,newsapi,0.782712721824646,0.12714526700977064,5,0.2067864418029785,0.3537453841418028,0.4394681751728058
ABBV,2026-01-22,newsapi,0.8548675179481506,,1,0.13521023094654083,0.009922265075147152,0.8548675179481506
ABBV,2026-01-24,newsapi,0.7543087005615234,,1,0.18720592558383942,0.058485377579927444,0.7543087005615234
ABBV,2026-01-26,newsapi,0.47888126969337463,,1,0.19301487505435944,0.47888126969337463,0.3281038701534271
AMD,2026-01-22,newsapi,0.9398301584380013,0.0362927224365045,7,0.5289642901292869,0.44033764994570185,0.03069804608821869
AMD,2026-01-23,newsapi,0.7947995694060075,0.17964721771700756,19,0.25362635867081973,0.47505861344306094,0.2713150372238536
AMD,2026-01-24,newsapi,0.688634475072225,0.13102510764699657,3,0.35426023105780285,0.03699079745759567,0.6087489624818166
AMD,2026-01-25,newsapi,0.8857875913381577,0.07097623382853997,4,0.09379612747579813,0.0204162762966007,0.8857875913381577
AMD,2026-01-26,newsapi,0.8067490309476852,0.18282459352608207,12,0.3497555376573776,0.10320915747433901,0.5470352852717042
AMD,2026-01-27,newsapi,0.7270250201225281,0.12612473101949911,5,0.4815135210752487,0.1859577137976885,0.33252878338098524
AMZN,2026-01-22,newsapi,0.8586104512214661,0.05042654864034315,3,0.35332315663496655,0.07103457736472289,0.5756422281265259
AMZN,2026-01-23,newsapi,0.8375074863433838,0.026895589908741916,2,0.4338321480900049,0.05104830185882747,0.5151195228099823
AMZN,2026-01-24,newsapi,0.8640888929367065,,1,0.10568113625049591,0.030229948461055756,0.8640888929367065
AMZN,2026-01-25,newsapi,0.935667872428894,,1,0.04765700176358223,0.01667509600520134,0.935667872428894
