epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,15.01351547241211,,,,,
0,95,,,17.712547302246094,0.11445155739784241,20.68232536315918,0.12374039739370346,9.897107124328613
0,95,22.81818389892578,,,,,,
1,99,,10.999786376953125,,,,,
1,149,,7.771738529205322,,,,,
1,191,,,10.377655029296875,0.07505986094474792,12.708944320678711,0.07997395843267441,5.888349533081055
1,191,8.15075969696045,,,,,,
2,199,,5.327700138092041,,,,,
2,249,,5.120096206665039,,,,,
2,287,,,11.380729675292969,0.06856264919042587,13.484979629516602,0.06954910606145859,6.346249580383301
2,287,6.192574977874756,,,,,,
3,299,,5.642775058746338,,,,,
3,349,,5.158174991607666,,,,,
