epoch,lr-Adam,step,target_future_1 val_MAE,target_future_1 val_MAPE,target_future_1 val_RMSE,target_future_1 val_SMAPE,target_future_2 val_MAE,target_future_2 val_MAPE,target_future_2 val_RMSE,target_future_2 val_SMAPE,target_future_3 val_MAE,target_future_3 val_MAPE,target_future_3 val_RMSE,target_future_3 val_SMAPE,target_future_4 val_MAE,target_future_4 val_MAPE,target_future_4 val_RMSE,target_future_4 val_SMAPE,target_future_5 val_MAE,target_future_5 val_MAPE,target_future_5 val_RMSE,target_future_5 val_SMAPE,target_future_6 val_MAE,target_future_6 val_MAPE,target_future_6 val_RMSE,target_future_6 val_SMAPE,target_future_7 val_MAE,target_future_7 val_MAPE,target_future_7 val_RMSE,target_future_7 val_SMAPE,train_loss_epoch,train_loss_step,val_loss
,0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,29,32.01058578491211,0.22857704758644104,35.365177154541016,0.26004543900489807,30.841819763183594,0.22365520894527435,34.139427185058594,0.25993749499320984,31.637054443359375,0.22840836644172668,34.7563362121582,0.2700502574443817,31.4854679107666,0.22386027872562408,35.09611511230469,0.24917015433311462,32.194820404052734,0.22677208483219147,35.40750503540039,0.2543991506099701,30.81300163269043,0.21999725699424744,33.90167236328125,0.25863686203956604,34.50773620605469,0.238086998462677,37.726226806640625,0.26303786039352417,,,158.8784942626953
0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.03231048583984,,
,0.001,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.044951438903809,
1,,59,31.84711456298828,0.22777748107910156,35.230628967285156,0.25683024525642395,31.965782165527344,0.22874972224235535,35.38177490234375,0.25732484459877014,32.74395751953125,0.23225802183151245,36.15630340576172,0.2604843080043793,31.267635345458984,0.2228260338306427,34.62493896484375,0.25317901372909546,30.916778564453125,0.2212505042552948,34.17250442504883,0.2562999129295349,31.225236892700195,0.22204314172267914,34.35480880737305,0.25710028409957886,33.172061920166016,0.23137612640857697,36.32374954223633,0.26235249638557434,,,142.59132385253906
1,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.21691131591797,,
,0.001,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,89,30.887218475341797,0.22255626320838928,34.28300094604492,0.2551169693470001,31.223426818847656,0.2257235199213028,34.633121490478516,0.2596080005168915,32.804630279541016,0.23072998225688934,36.17770767211914,0.25799131393432617,31.721031188964844,0.22669236361980438,35.064395904541016,0.2571954131126404,29.905773162841797,0.21650078892707825,33.08283233642578,0.25229811668395996,30.60032844543457,0.21948692202568054,33.72453308105469,0.255575031042099,33.01331329345703,0.23151710629463196,36.069828033447266,0.26382243633270264,,,138.87599182128906
2,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.00263214111328,,
,0.001,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.78895568847656,
3,,119,30.095537185668945,0.21831971406936646,33.025550842285156,0.261074423789978,30.70139503479004,0.22322100400924683,34.11586380004883,0.25977054238319397,33.02417755126953,0.2311616688966751,36.371429443359375,0.26019954681396484,30.566673278808594,0.22157709300518036,33.975425720214844,0.25628527998924255,30.45687484741211,0.22028003633022308,33.294742584228516,0.26429057121276855,30.78508186340332,0.2209659367799759,33.646400451660156,0.2641259729862213,33.70967102050781,0.23477083444595337,36.80702209472656,0.26359084248542786,,,140.85736083984375
3,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.70588684082031,,
,0.001,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.1977081298828,
4,,149,33.33890914916992,0.2341054081916809,36.04621124267578,0.2913598418235779,31.724899291992188,0.22463959455490112,34.85736083984375,0.2713378965854645,31.66306495666504,0.2264641523361206,35.01981735229492,0.2642854154109955,31.26763343811035,0.2234416902065277,34.18035125732422,0.26984903216362,34.175052642822266,0.237661674618721,37.049468994140625,0.2933560311794281,36.088966369628906,0.24509850144386292,39.01447296142578,0.30317795276641846,31.49583625793457,0.2232964038848877,34.778507232666016,0.25724321603775024,,,153.7797393798828
4,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.11022186279297,,
,0.001,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,179,35.81886291503906,0.24784652888774872,38.3309211730957,0.31229469180107117,34.670066833496094,0.24102717638015747,37.56287384033203,0.2972863018512726,32.91080856323242,0.23303750157356262,35.851234436035156,0.2844908833503723,35.63583755493164,0.24491025507450104,38.336727142333984,0.30404138565063477,37.21731948852539,0.255899578332901,39.807525634765625,0.3208133280277252,40.64387512207031,0.27033698558807373,43.130916595458984,0.34204593300819397,32.95646286010742,0.22969362139701843,35.753501892089844,0.28122296929359436,,,175.7725830078125
5,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.20326232910156,,
,0.001,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.395498275756836,
6,,209,33.726539611816406,0.2388502061367035,36.38106155395508,0.30056118965148926,33.20865249633789,0.2348436415195465,36.40921401977539,0.2899646461009979,34.6059455871582,0.24359892308712006,37.684627532958984,0.3034666180610657,33.9896125793457,0.23736728727817535,36.7025146484375,0.29654592275619507,34.45602035522461,0.2434479147195816,37.508541107177734,0.3038237988948822,35.11874008178711,0.24415595829486847,37.8506965637207,0.3054267168045044,35.45846939086914,0.24262329936027527,38.27021789550781,0.301803320646286,,,174.81163024902344
6,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.17100143432617,,
,0.001,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,239,36.90340042114258,0.2532969117164612,39.41404724121094,0.32016509771347046,35.48757553100586,0.24613095819950104,38.230125427246094,0.30778151750564575,37.62673568725586,0.2578357756137848,40.336151123046875,0.32401421666145325,36.91545867919922,0.2514861822128296,39.535667419433594,0.3158397972583771,39.9263916015625,0.2677692174911499,42.54273986816406,0.3381524085998535,38.53254699707031,0.25978392362594604,41.108009338378906,0.32795700430870056,37.168052673339844,0.2509927749633789,39.851280212402344,0.31487882137298584,,,190.57713317871094
7,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.84983825683594,,
